Temperature,Density,Cp
273,677.57,2.1517
274,676.67,2.1555
275,675.78,2.1593
276,674.88,2.163
277,673.98,2.1668
278,673.08,2.1707
279,672.19,2.1745
280,671.29,2.1784
281,670.38,2.1823
282,669.48,2.1862
283,668.58,2.1901
284,667.68,2.194
285,666.77,2.198
286,665.87,2.202
287,664.96,2.206
288,664.05,2.21
289,663.15,2.214
290,662.24,2.2181
291,661.32,2.2221
292,660.41,2.2262
293,659.5,2.2303
294,658.59,2.2345
295,657.67,2.2386
296,656.75,2.2428
297,655.84,2.247
298,654.92,2.2512
299,654,2.2554
300,653.08,2.2596
301,652.15,2.2639
302,651.23,2.2681
303,650.3,2.2724
304,649.38,2.2767
305,648.45,2.2811
306,647.52,2.2854
307,646.59,2.2898
308,645.65,2.2941
309,644.72,2.2985
310,643.78,2.3029
